Title;Description;Show_type;runtime;Release_year;genres;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
The Jackie Robinson Story;Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues.;MOVIE;76;1950;['drama', 'sport'];6.3;1272;1.957;6.4
The Secret Life of Walter Mitty;Walter Mitty, a daydreaming writer with an overprotective mother, likes to imagine that he is a hero who experiences fantastic adventures. His dream becomes reality when he accidentally meets a mysterious woman who hands him a little black book. According to her, it contains the locations of the Dutch crown jewels hidden since World War II. Soon, Mitty finds himself in the middle of a confusing conspiracy, where he has difficulty differentiating between fact and fiction.;MOVIE;105;1947;['romance', 'comedy', 'fantasy'];6.9;6307;5.415;6.8
The Strange Love of Martha Ivers;Three childhood friends, Martha, Walter and Sam, share a terrible secret. Over time, the ambitious Martha and the pusillanimous Walter have married. She is a cold businesswoman, he is the district attorney: a perfect combination to dominate the corrupt city of Iverstown at will. But the unexpected return of Sam, after years of absence, deeply disturbs the life of the odd couple.;MOVIE;115;1946;['thriller', 'romance', 'drama'];7.4;9729;9.703;7.2
Flying Tigers;Jim Gordon commands a unit of the famed Flying Tigers, the American Volunteer Group which fought the Japanese in China before America's entry into World War II. Gordon must send his outnumbered band of fighter pilots out against overwhelming odds while juggling the disparate personalities and problems of his fellow flyers.;MOVIE;102;1942;['drama', 'romance', 'war', 'action'];6.7;3917;3.238;6.1
Lady Windermere's Fan;A society woman believes her husband is having an affair, a misconception which may have dire personal consequences for all involved.;MOVIE;120;1925;['comedy'];7.2;1157;2.313;6.9
Dead End;Mobster "Baby Face" Martin returns home to visit the New York neighborhood where he grew up, dropping in on his mother, who rejects him because of his gangster lifestyle, and his old girlfriend, Francey, now a syphilitic prostitute. Martin also crosses paths with Dave, a childhood friend struggling to make it as an architect, and the Dead End Kids, a gang of young boys roaming the streets of the city's East Side slums.;MOVIE;93;1937;['crime', 'drama', 'romance'];7.3;7504;8.068;7.1
Meet John Doe;As a parting shot, fired reporter Ann Mitchell prints a fake letter from unemployed "John Doe," who threatens suicide in protest of social ills. The paper is forced to rehire Ann and hires John Willoughby to impersonate "Doe." Ann and her bosses cynically milk the story for all it's worth, until the made-up "John Doe" philosophy starts a whole political movement.;MOVIE;122;1941;['romance', 'comedy', 'drama'];7.6;13443;8.574;7.4
The Outlaw;Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot.;MOVIE;116;1943;['western'];;;7.503;5.6
The Front Page;Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career.;MOVIE;101;1931;['comedy', 'drama', 'thriller', 'crime', 'romance'];6.2;17;5.403;6.6
White Zombie;In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie.;MOVIE;67;1932;['horror'];6.3;10410;6.822;5.9
