Title;Description;Show_type;runtime;Release_year;genres;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
New Year's Evil;During a New Year's Eve celebration, a punk-rock singer gets a phone call saying that when New Year's strikes in each time zone, someone will be murdered--and she will be the last one.;MOVIE;86;1980;['horror', 'thriller'];4.8;3112;5.12;4.6
Nicholas and Alexandra;Tsar Nicholas II, the inept last monarch of Russia, insensitive to the needs of his people, is overthrown and exiled to Siberia with his family.;MOVIE;189;1971;['drama', 'history', 'war'];7.2;4953;4.487;7
The Hunter;During his long career, bounty hunter Ralph "Papa" Thorson has caught over 5,000 criminals. Now, while he is working on apprehending fugitives in Illinois, Texas and Nebraska, he himself is being hunted by a psychotic killer.;MOVIE;93;1980;['thriller', 'comedy', 'crime', 'drama', 'action'];6.2;5982;10.443;5.9
Night Tide;A young sailor falls in love with a mysterious woman, performing as a mermaid at the local carnival. He soon comes to suspect the girl might be a actual mermaid who draws men to a watery death during the full moon.;MOVIE;84;1963;['fantasy', 'thriller', 'drama', 'romance', 'horror'];6.4;3296;5.45;6.4
The Brain That Wouldn't Die;Dr. Bill Cortner and his fiancée, Jan Compton, are driving to his lab when they get into a horrible car accident. Compton is decapitated. But Cortner is not fazed by this seemingly insurmountable hurdle. His expertise is in transplants, and he is excited to perform the first head transplant. Keeping Compton's head alive in his lab, Cortner plans the groundbreaking yet unorthodox surgery. First, however, he needs a body.;MOVIE;82;1962;['horror', 'scifi', 'comedy'];4.4;6938;5.648;4.6
Suddenly;The tranquility of a small town is marred only by sheriff Tod Shaw's unsuccessful courtship of widow Ellen Benson, a pacifist who can't abide guns and those who use them. But violence descends on Ellen's household willy-nilly when the U.S. President passes through town... and slightly psycho hired assassin John Baron finds the Benson home ideal for an ambush.;MOVIE;77;1954;['thriller', 'drama', 'crime'];6.8;6593;5.402;6.3
They Call Me Mister Tibbs!;A police detective's investigation of a prostitute's murder points to his best friend.;MOVIE;108;1970;['thriller', 'crime', 'drama'];6.1;3777;4.544;5.8
Attack;Battle of the Bulge, World War II, 1944. Lieutenant Costa, an infantry company officer who must establish artillery observation posts in a strategic area, has serious doubts about Captain Cooney's leadership ability.;MOVIE;107;1956;['drama', 'war', 'action'];7.4;5213;5.352;6.7
Born to Win;A smart-mouthed junkie and a former hairdresser spends his days looking for just "one more fix".;MOVIE;88;1971;['comedy', 'drama', 'crime'];5.6;1798;3.344;5.3
Royal Wedding;Tom and Ellen are asked to perform as a dance team in England at the time of Princess Elizabeth's wedding. As brother and sister, each develops a British love interest, Ellen with Lord John Brindale and Tom with dancer Anne Ashmond.;MOVIE;93;1951;['romance', 'comedy', 'documentation'];6.7;5422;5.311;6.5
Salt of the Earth;Based on an actual strike against the Empire Zinc Mine in New Mexico, the film deals with the prejudice against the Mexican-American workers, who struck to attain wage parity with Anglo workers in other mines and to be treated with dignity by the bosses.;MOVIE;94;1954;['drama', 'history'];7.4;3539;3.582;7.2
Cromwell;Disgusted with the policies of King Charles I, Oliver Cromwell plans to take his family to the New World. But on the eve of their departure, Cromwell is drawn into the tangled web of religion and politics that will result in the English Civil War.;MOVIE;139;1970;['drama', 'history', 'war'];6.9;6033;6.127;6.5
Cul-de-sac;A wounded criminal and his dying partner take refuge at an old beachfront fortress. The owner of the fortress and his young wife, initially unwilling hosts, quickly experience their relationship with the criminal shift in a humorous and bizarre fashion.;MOVIE;113;1966;['comedy', 'drama', 'thriller'];7;12833;7.732;6.8
The Comedy of Terrors;An undertaker who hasn't had any 'customers' in a long time is forced to pay one year's back-rent. To get money he starts to kill people, which brings absurd results.;MOVIE;84;1964;['horror', 'comedy'];6.6;5909;6.679;6.6
The Naked Kiss;A former prostitute works to create a new life for herself in a small town, but a shocking discovery could threaten everything.;MOVIE;93;1964;['drama', 'crime'];7.2;7793;7.211;7.1
Thunder Road;Unrepentant Tennessee moonshine runner Luke Doolin (Robert Mitchum) makes dangerous high-speed deliveries for his liquor-producing father, Vernon (Trevor Bardette), but won't let his younger brother Robin (James Mitchum) join the family business. Under pressure from both out-of-town gangster Kogan (Jacques Aubuchon), who wants a piece of the local action, and Treasury agent Barrett (Gene Barry), who wants to destroy the moonshine business, Luke fights for his fast-fading way of life.;MOVIE;92;1958;['thriller', 'action', 'crime', 'drama'];6.6;3640;3.197;6.2
The Front;A cashier poses as a writer for blacklisted talents to submit their work through, but the injustice around him pushes him to take a stand.;MOVIE;95;1976;['comedy', 'drama'];7.3;8940;7.948;7
Never on Sunday;An American scholar in Greece sets about improving the prostitute with whom he is infatuated.;MOVIE;91;1960;['romance', 'drama', 'comedy'];7.3;5705;3.322;6.9
Flower Drum Song;A young woman arrives in San Francisco's Chinatown from Hong Kong with the intention of marrying a rakish nightclub owner, unaware he is involved with one of his singers.;MOVIE;133;1961;['music', 'romance', 'comedy'];6.9;3068;3.342;6.2
The Killer Shrews;Trapped on a remote island by a hurricane, a group discover a doctor has been experimenting on creating half sized humans. Unfortunately, his experiments have also created giant shrews, who when they have run out of small animals to eat, turn on the humans....;MOVIE;69;1959;['horror', 'scifi'];4;5008;5.115;4.3
The Duchess of Duke Street;Set in London between 1900 and 1925, the story follows Louisa Leyton/Trotter, the eponymous "Duchess", who works her way up from servant to renowned cook to proprietress of the upper-class Bentinck Hotel in Duke Street, St. James's.;SHOW;52;1976;['drama'];8.3;1375;3.741;8.2
Kansas City Confidential;A down-on-his-luck ex-GI finds himself framed for an armored car robbery. When he's finally released for lack of evidence--after having been beaten up and tortured by the police--he sets out to discover who set him up, and why. The trail leads him into Mexico and a web of hired killers and corrupt cops.;MOVIE;99;1952;['thriller', 'crime', 'drama'];7.3;7082;5.873;7.1
Road to Bali;Having to leave Melbourne in a hurry to avoid various marriage proposals, two song-and-dance men sign on for work as divers. This takes them to an idyllic island on the way to Bali where they vie with each other for the favours of Princess Lala. The hazardous dive produces a chest of priceless jewels which arouses the less romantic interest of some shady locals.;MOVIE;91;1953;['comedy', 'fantasy'];6.4;4825;5.643;6.3
The Trip;After his wife leaves him, a disillusioned director dives into the drug scene, trying anything his friend suggests.;MOVIE;85;1967;['drama'];6;4925;6.701;5.8
Small Change;Various experiences of childhood are seen in several sequences that take place in the small town of Thiers, France. Vignettes include a boy's awakening interest in girls, couples double-dating at the movies, brothers giving their friend a haircut, a boy dealing with an abusive home life, a baby and a cat sitting by an open window, a child telling a dirty joke, and a boy who develops a crush on his friend's mother.;MOVIE;104;1976;['drama', 'comedy', 'european'];7.6;5890;6.222;7.2
Khartoum;English General Charles George Gordon is appointed military governor of Anglo-Egyptian Sudan by the Prime Minister. Ordered to evacuate Egyptians from the Sudan, Gordon stays on to protect the people of Khartoum, who are under threat of being conquered by a Muslim army.;MOVIE;134;1966;['war', 'action', 'history', 'drama'];6.8;7385;6.78;6.3
Chariots of the Gods;Documentary based on the book by Erich Von Daniken concerning the ancient mysteries of the world, such as the pyramids of Egypt and Mexico, ancient cave drawings, the monuments of Easter Island, etc. and the fact that these things and modern civilization could have been influenced by extra-terrestrial visitations hundreds(or perhaps thousands) of years ago.;MOVIE;92;1970;['thriller', 'documentation'];6.2;1528;1.9;6.4
The Big Brawl;A young Asian American martial artist is forced to participate in a brutal formal street-fight competition.;MOVIE;95;1980;['comedy', 'crime', 'action'];5.7;5331;10.186;6.1
Thank God It's Friday;It's Friday and everyone is going to the hot new disco. The Commodores are scheduled to play if Floyd shows up with the instruments and Nicole dreams of becoming a disco star. Other characters are there to win the dance contest, or to put a little excitement into a fifth anniversary.;MOVIE;89;1978;['romance', 'music', 'comedy'];5.4;2760;3.711;5.1
The Bigamist;A woman discovers her husband has another family in another city.;MOVIE;80;1953;['drama'];6.8;3830;4.372;6.7
Gas-s-s-s !;A gas is let loose upon the world that kills anyone over 25 years old.;MOVIE;79;1970;['drama', 'comedy', 'scifi'];4.2;1497;3.425;4.5
Inside Moves;After a failed suicide attempt leaves him partially crippled, Rory begins spending a lot of time at a neighborhood bar full of interesting misfits. When Jerry the bartender suddenly finds himself playing basketball for the Golden State Warriors, Rory and the rest of the bar regulars hope his success will provide a lift to their sagging spirits. Will Jerry forget his friends? What about his junkie hooker girlfriend and her pimp?;MOVIE;113;1980;['drama', 'romance', 'sport', 'comedy'];7.1;1884;3.148;7.2
QB VII;A physician sues a novelist for publishing statements implicating the doctor in Nazi war crimes.;SHOW;153;1974;['drama'];7.7;786;1.924;8.5
Bobbie Jo and the Outlaw;A young country-star wannabe takes off from her carhop career to join with a young, modern Billy the Kid wannabe for an adventure in theft, murder and mayhem.;MOVIE;89;1976;['action', 'crime', 'drama', 'romance', 'thriller'];5.3;1093;4.157;4.1
Alexander the Great;He was a fierce military commander who led huge armies into battle without a single defeat, a magnificent warrior who many believed was part god - this was Alexander the Great (Richard Burton), the legendary Greek hero hailed by his countrymen as "The King of Kings". Born in 356 B.C. into a turbulent world of political unrest, educated by Aristotle (Barry Jones) and chosen to lead his people in the grand tradition of his powerful father (Fredric March), this glamorous world conqueror rose above all conflict to unite the continents of Europe and Asia to become one of the most celebrated rulers of all time! Written, produced and directed by Oscar - winner Robert Rossen and featuring the extraordinary Claire Bloom and a remarkable cast of thousands, this stunning portrait of one of history's most fascinating figures is colossal entertainment and an amazing spectacle.;MOVIE;136;1956;['war', 'action', 'drama', 'history'];5.8;3668;8.31;5.8
Easy Come, Easy Go;Navy frogman Ted Jackson balances his time between twin careers as a deep-sea diver and nightclub singer. During a dive, Ted spots sunken treasure and returns with the hope to retrieve it.;MOVIE;95;1967;['comedy', 'music', 'action'];5.2;1577;2.537;5.9
Windows;Emily is the subject of a perverse obsession by a gay neighbor, Andrea, who not only is in lust with her but hires a rapist in order to get audio tapes of her moaning. Andrea turns peeping tom and watches Emily with a telescope as she begins a love affair with Detective Luffrono.;MOVIE;96;1980;['thriller', 'horror', 'drama'];4.7;781;4.354;4.9
Private Property;A hoodlum (Corey Allen) plots to seduce a lonely housewife (Kate Manx) and turn her over to his virginal friend (Warren Oates).;MOVIE;79;1960;['thriller', 'drama', 'crime'];6.8;912;1.933;6.2
Daughters of Satan;A man buys a painting depicting witches being burned at the stake, one of whom bears an uncanny resemblance to his wife.;MOVIE;90;1972;['horror'];4.4;1001;1.582;4.8
A Kiss Before Dying;A college student tries to get rich quick by wooing two wealthy sisters.;MOVIE;94;1956;['thriller', 'crime', 'romance'];6.7;3651;3.229;6.5
Queen of Blood;A spaceship is sent to Mars after a alien distress signal is picked up. They find one survivor, but when a crew member is found drained of blood it's evident they have rescued a bloodsucking monster.;MOVIE;81;1966;['scifi', 'horror'];5.2;1892;3.256;5.9
Tales of Terror;Three stories adapted from the work of Edgar Allen Poe:  1) A man and his daughter are reunited, but the blame for the death of his wife hangs over them, unresolved.  2) A derelict challenges the local wine-tasting champion to a competition, but finds the man's attention to his wife worthy of more dramatic action.  3) A man dying and in great pain agrees to be hypnotized at the moment of death, with unexpected consequences.;MOVIE;89;1962;['horror', 'thriller', 'comedy'];6.8;7216;7.179;6.8
Death Ship;Survivors of a tragic shipping collision are rescued by a mysterious black ship which appears out of the fog. Little do they realise that the ship is actually a Nazi torture ship which has sailed the seas for years, luring unsuspecting sailors aboard and killing them off one by one.;MOVIE;91;1980;['thriller', 'horror'];4.8;4777;6.767;5.4
Free to Choose;Free to Choose is a ten-part television series broadcast on public television by economists Milton and Rose D. Friedman that advocates free market principles. It was primarily a response to an earlier landmark book and television series: The Age of Uncertainty, by the noted economist John Kenneth Galbraith. Milton Friedman won the Nobel Memorial Prize in Economics in 1976.;SHOW;57;1980;['documentation'];9.2;279;1.4;7.8
The Snows of Kilimanjaro;Writer Harry Street reflects on his life as he lies dying from an infection while on safari in the shadow of Mount Kilimanjaro.;MOVIE;117;1952;['romance', 'drama', 'war'];6.1;5239;6.048;5.9
The Visitors;Bill, Martha and their little child Hal are spending a quiet winter Sunday in their cosy house when they get an unexpected visit from Mike Nickerson and Tony Rodriguez. Mike and Tony are old acquaintances of Bill, a few years back, in Vietnam, they were in the same platoon. They also became opposed parties in a court martial - for a reason that Bill never explained to Martha. What happened in Vietnam, and what is the reason for the presence of Mike and Tony ?;MOVIE;88;1972;['thriller', 'crime', 'drama'];6.4;1392;1.907;6.1
Animalympics;Animalympics is all about the Animal Olympics Contest where all the animals around the world gather to take part in everything from skiing in North America to the very long marathon race in humid conditions.;MOVIE;78;1980;['animation', 'comedy', 'family', 'sport'];6.8;2099;3.163;5.9
Electra Glide in Blue;A short Arizona motorcycle cop gets his wish and is promoted to Homicide following the mysterious murder of a hermit. He is forced to confront his illusions about himself and those around him in order to solve the case, eventually returning to solitude in the desert.;MOVIE;114;1973;['thriller', 'crime', 'drama'];7.1;5687;5.342;7.1
Cotton Comes to Harlem;Harlem's African-American population is being ripped off by the Rev. Deke O'Malley, who dishonestly claims that small donations will secure parcels of land in Africa. When New York City police officers Gravedigger Jones and Coffin Ed Johnson look into O'Malley's scam, they learn that the cash is being smuggled inside a bale of cotton. However, the police, O'Malley, and lots of others find themselves scrambling when the money goes missing.;MOVIE;97;1970;['comedy', 'action', 'crime'];6.5;2307;5.095;6.4
Schizoid;When Dr. Peter Fales's patients start getting annihilated by an unknown serial killer, he and his daughter Alison both come under suspicion. Julie, a syndicated “Dear Abby”-style columnist, is in one of Dr. Fales's therapy groups. After she receives several ominous letters she not only wonders if Dr. Fales might be behind the killings, she also starts to suspect her estranged husband.;MOVIE;89;1980;['horror', 'drama', 'thriller'];5;1438;6.927;5.3
For Pete's Sake;Henry is a woman who would do anything for her husband Pete-- including borrow money so he has a chance of making his dreams come true. But now there's the loan sharks to deal with...;MOVIE;90;1974;['comedy'];6.2;2405;3.103;5.6
The Angry Red Planet;The first manned flight to Mars returns after having been out of communications since it had arrived on Mars. What would it reveal?;MOVIE;83;1959;['scifi', 'horror'];5.2;3286;6.14;5.6
Dr. Goldfoot and the Bikini Machine;In this campy spy movie spoof Dr. Goldfoot (Vincent Price) has invented an army of bikini-clad robots who are programmed to seek out wealthy men and charm them into signing over their assets. Secret agent Craig Gamble (Frankie Avalon) and millionaire Todd Armstrong set out to foil his fiendish plot.;MOVIE;88;1965;['comedy', 'scifi'];5;2235;3.62;5.3
Fun with Dick and Jane;When an upwardly mobile couple find themselves unemployed and in debt, they turn to armed robbery in desperation.;MOVIE;95;1977;['comedy', 'crime'];6.4;4476;5.65;6.6
Sanford;Redd Foxx isn’t done scheming and wise-cracking in the spin-off to one of America's most beloved sitcoms.;SHOW;29;1980;['comedy'];6.6;331;2.529;
The Competition;The movie centers on a piano competition whose winner is assured of success. It is Paul's last chance to compete, but newcomer Heidi may be a better pianist. Can romance be far away? Will she take a dive despite the pressure to win from her teacher, Greta, or will she condemn Paul to obscurity?;MOVIE;123;1980;['romance', 'drama', 'music'];6.6;2139;2.995;6.6
Cry of the Banshee;In seventeenth century England Lord Whitman wages unending war on what he sees as the ever-present scourge of witchcraft, and many local villagers have suffered at his hands. But one victim uses her occult powers to curse his family, enlisting unknowing help from one of the household.;MOVIE;91;1970;['horror'];5.5;2426;4.976;5.5
The Hiding Place;The Hiding Place is an account of a Dutch family who risk their lives by offering a safe haven for Jews during World War II;MOVIE;150;1975;['drama', 'history', 'war'];7.4;2080;2.926;6.4
Don't Look in the Basement;A young psychiatric nurse goes to work at a lonesome asylum following a murder. There, she experiences varying degrees of torment from the patients.;MOVIE;89;1973;['thriller', 'horror'];4.9;3129;3.933;5
The Bed Sitting Room;In the hazy aftermath of World War III, the fallout from a 'nuclear misunderstanding' is producing strange mutations amongst the survivors, and the noble Lord Fortnum finds himself transforming into a bed sitting room.;MOVIE;91;1969;['scifi', 'comedy'];6.1;2251;3.706;6.1
Beyond the Time Barrier;A pilot testing an experimental new rocket powered craft manages to fly into the future and land at the now deserted airbase he left. He ends up in a city with people who are suspicious he is a spy and who want to keep him to procreate with the rulers daughter because the majority of the inhabitants are sterile. He manages to escape and return to his own time but ages dramatically.;MOVIE;75;1960;['scifi', 'romance', 'european'];5.3;1608;3.102;6.2
The Tempest;Prospero, the true Duke of Milan is now living on an enchanted island with his daughter Miranda, the savage Caliban and Ariel, a spirit of the air. Raising a sorm to bring his brother - the usurper of his dukedom - along with his royal entourage. to the island. Prospero contrives his revenge.;MOVIE;123;1980;['fantasy', 'drama'];6.8;308;1.586;7
The Outsider;Michael Flaherty (Craig Wasson), an American Vietnam veteran of Irish descent, returns to Belfast to join the cause of his grandfather, Seamus (Sterling Hayden). Soon he finds that he is not as welcomed in his home country as he imagined he would be. Even worse, he's the target of an IRA assassination plot designed to make the British forces look bad in order to elicit financial support from wealthy Americans.;MOVIE;128;1980;['drama', 'history', 'thriller'];6.8;254;1.407;5.8
The Last Time I Saw Paris;Reporter Charles Wills, in Paris to cover the end of World War II, falls for the beautiful Helen Ellswirth following a brief flirtation with her sister, Marion. After he and Helen marry, Charles pursues his novelistic ambition while supporting his new bride with a deadening job at a newspaper wire service. But when an old investment suddenly makes the family wealthy, their marriage begins to unravel — until a sudden tragedy changes everything.;MOVIE;116;1954;['drama', 'romance'];6.1;3779;4.552;6.1
Pal Joey;An opportunistic singer woos a wealthy widow to boost his career.;MOVIE;111;1957;['romance', 'drama'];6.6;5350;4.771;6.2
She Gods of Shark Reef;Two brothers, one wanted for murder, are shipwrecked on an island inhabited by nubile young women who have amassed a valuable cache of pearls.;MOVIE;63;1958;['thriller'];2.9;1021;3.417;3.3
Lord Love a Duck;From his prison cell, young Alan Musgrave relates his experiences of the previous year dedicated to fulfilling every whim of beautiful and self-absorbed high school senior Barbara Ann Greene.;MOVIE;105;1966;['drama', 'comedy', 'romance'];6.4;1694;2.955;6.2
Go for Broke!;A tribute to the U.S. 442nd Regimental Combat Team, formed in 1943 by Presidential permission with Japanese-American volunteers. We follow the training of a platoon under the rueful command of Lt. Mike Grayson who shares common prejudices of the time. The 442nd serve in Italy, then France, distinguishing themselves in skirmishes and battles, gradually and naturally, Grayson's prejudices evaporate with dawning realization that his men are better soldiers than he is.;MOVIE;92;1951;['drama', 'war', 'history'];6.6;1464;2.559;5.7
Robinson Crusoe;An English slave trader is marooned on a remote tropical island, forced to fend for himself and deal with crushing loneliness.;MOVIE;90;1954;['action', 'drama', 'family'];6.7;4029;5.033;6.2
Trapeze;A pair of men try to perform the dangerous "triple" in their trapeze act. Problems arise when the duo is made into a trio following the addition of a sexy female performer.;MOVIE;105;1956;['drama', 'romance'];6.8;4593;5.426;6.5
Madhouse;A horror movie star returns to his famous role after years in a mental institution. But the character seems to be committing murders independent of his will.;MOVIE;92;1974;['horror', 'thriller', 'crime'];6.2;4087;5.354;6.2
Crime of Passion;Kathy leaves the newspaper business to marry homicide detective Bill, but is frustrated by his lack of ambition and the banality of life in the suburbs. Her drive to advance Bill's career soon takes her down a dangerous path.;MOVIE;83;1956;['drama', 'thriller', 'crime'];6.4;2370;5.424;6.2
The Premature Burial;An artist grows distant from his new wife as an irrational horror of premature burial consumes him.;MOVIE;81;1962;['drama', 'thriller', 'horror'];6.5;4139;7.622;6.3
C.C. and Company;A motorcycle rebel rescues a woman from his gang and fights an outlaw guru for supremacy.;MOVIE;94;1970;['action', 'comedy', 'drama'];4.8;893;3.12;5.4
The Scalphunters;Trapper Joe is on his way to the town with all of his gain of hides of the last winter. However a group of Indians stops him and takes all of his hides, leaving him the escaped slave Joseph instead. But Joe has no use for Joseph and is determined to get his property back and follows them. Before he can do anything, the Indians are raided themselves by a group of scalphunters under the greedy Howie. Not only the hides, but also Joseph falls into their hands. Now Joe follows them alone and tries to trick the numerical superior group out of his hides;MOVIE;102;1968;['western', 'comedy'];6.7;3762;8.615;6.4
Disraeli;Disraeli is a British four part serial about the great statesman and Prime Minister of the United Kingdom, Benjamin Disraeli.;SHOW;63;1978;['drama', 'history'];7.6;224;2.351;7.7
Puzzle;In London, A man who has amnesia attempts to uncover the truth about his identity. A menacing individual accuses him of betrayal, and soon more pieces of his puzzling past begin to fall in place.;MOVIE;92;1974;['horror', 'thriller', 'crime', 'romance', 'european'];6.3;932;2.821;5.9
Whoever Slew Auntie Roo?;A demented widow lures unsuspecting children into her mansion in a bizarre "Hansel and Gretel" twist.;MOVIE;91;1972;['thriller', 'horror'];6.1;1955;5.989;6.7
Savage Weekend;Several couples head upstate to the country to watch a boat being built. Unfortunately they are stalked by a murderer behind a ghoulish mask.;MOVIE;88;1979;['thriller', 'horror'];4.5;1574;3.276;4.3
I Don't Want to Be Born;A woman gives birth to a baby, but this is no ordinary little tyke. The child is seemingly possessed by the spirit of a freak dwarf who the mother once spurned. Cue a spate of strange deaths, the one common factor being the presence of a baby in pram at the scene...;MOVIE;95;1975;['thriller', 'horror'];4.1;1274;2.919;5.1
The Fast and the Furious;A man wrongly imprisoned for murder breaks out of jail. He wants to clear his name, but with the police pursuing him, he's forced to take a beautiful young woman, driving a fast sports car, hostage and slip into a cross-border sports car race to try to make it to Mexico before the police get him.;MOVIE;73;1954;['drama', 'crime', 'thriller'];5.3;1334;2.822;4.7
The Magic Sword;The son of a sorceress, armed with weapons, armour and six magically summoned knights, goes on a quest to save a princess from a vengeful wizard.;MOVIE;80;1962;['fantasy', 'drama', 'action'];4.7;2324;3.471;3.9
Moon of the Wolf;After several locals are viciously murdered, a Louisiana sheriff starts to suspect he may be dealing with a werewolf.;MOVIE;75;1972;['horror', 'thriller'];5;1558;2.71;5
Sergeant Dead Head;An astronaut goes into space with a chimpanzee. When they return to Earth after their orbit, it is discovered that the chimp has the brains of the astronaut, and the astronaut has the brains of the chimp. Complications ensue.;MOVIE;90;1965;['comedy'];4.6;233;1.462;3
J.D.'s Revenge;A college student is possessed by a 40's era gangster.;MOVIE;95;1976;['horror', 'thriller', 'action'];6;1202;2.818;5.9
Gamera, the Giant Monster;A nuclear explosion in the far north unleashes Gamera, the legendary flying turtle, from his sleep under the ice. In his search for energy, Gamera wreaks havoc over the entire world, and it's up to the scientists, assisted by a young boy with a strange sympathic link to the monster, to put a stop to Gamera's rampage.;MOVIE;79;1965;['horror', 'scifi', 'action'];5.1;3268;6.928;6.1
After the Fox;A criminal mastermind sets up a phony film production as part of a plan to smuggle stolen gold.;MOVIE;108;1966;['comedy', 'crime', 'european'];6.4;4192;3.942;6
Santa Claus Conquers the Martians;Martians fear their children have become lazy and joyless due to their newfound obsession with Earth TV shows. After ancient Martian leader Chochem suggests that the children of Mars need more fun—including their own Santa Claus—supreme leader Lord Kimar assembles an expedition to Earth. Once there, they kidnap two children who lead them to the North Pole, then capture the real Santa Claus, taking all three back to Mars in an attempt to bring the Martian children happiness.;MOVIE;81;1964;['comedy', 'family', 'fantasy', 'scifi'];2.6;11725;5.943;3.1
Yancy Derringer;Yancy Derringer is an American Western series;SHOW;28;1958;['western', 'action'];8;383;5.705;7.5
Crippled Avengers;A group of martial artists seek revenge after being crippled by Tu Tin-To, a martial arts master, and his son.;MOVIE;100;1978;['action', 'drama'];7.3;2544;6.306;6.6
The Hound of the Baskervilles;Director Paul Morrissey applies a hefty dose of humor to Sir Arthur Conan Doyle's classic detective story in this interpretation of The Hound of the Baskervilles. Comedian Peter Cook takes on the role of brilliant detective Sherlock Holmes, who's not so gifted here as he relegates much of the investigation of demonic dogs to his bumbling sidekick, Watson (Dudley Moore), while he spends time with his mother and searches for an assistant.;MOVIE;85;1978;['thriller', 'crime', 'horror', 'comedy'];4.5;1136;3.284;4.5
The Legend of Lizzie Borden;A dramatization of the famous 1893 Massachusetts trial of the woman accused of murdering her father and stepmother with an ax.;MOVIE;96;1975;['history', 'drama'];7.5;1659;3.179;6.6
Strategic Air Command;Air Force reservist Lt. Col. Robert (Dutch) Holland is recalled into active duty at the peak of his baseball career.;MOVIE;112;1955;['drama', 'action', 'war'];6.3;3521;2.376;6
The Secret of Santa Vittoria;During World War II, Italian villagers hide their wine from the German army.;MOVIE;139;1969;['drama', 'war', 'comedy'];7.3;3681;2.75;6.8
Where the Lilies Bloom;A family of children decide not to tell anyone their father has died, and to live on their own in the backwoods of rural North Carolina. If the state finds out they are on their own, they will be split up and sent to live in foster homes.;MOVIE;98;1974;['drama', 'romance', 'family'];7.3;799;1.08;6.3
Breakout;A bush pilot is hired for $250,000 to go to Mexico to free an innocent prisoner.;MOVIE;96;1975;['action', 'thriller', 'drama'];6.1;3936;6.001;6.5
Demented;A woman is gang-raped in a horse's stable, and even though the rapists are caught and imprisoned, she is harassed many moons later by ghastly visions of her tormentors, while her husband philanders and every little thing frightens her out of her wits.;MOVIE;87;1980;['thriller', 'crime', 'horror', 'drama'];3.9;594;2.498;3.3
Esther and the King;Recently widowed Persian King Ahasuerus wants to marry the beautiful Esther. But Esther is a Jewess, and Haman, the king's evil minister, is spreading hatred against the Jews.  Set in the  4th century B.C., this Biblical epic stars Richard Egan (Demetrius And The Gladiators, A Summer Place) as Ahasuerus and Italian leading man Sergio Fantoni as Haman.  Esther is portrayed by none other than Joan Collins, who would later gain fame as the scheming Alexis Carrington, in the hit TV series Dynasty.  Directed by Raoul Walsh (The Thief of Bagdad, High Sierra, White Heat).  1960 / Running Time: 109 min. / Color;MOVIE;109;1960;['drama', 'history', 'romance', 'european'];5.4;763;3.174;5.3
The Amazing Mr Blunden;Mysterious old solicitor Mr. Blunden visits Mrs. Allen and her young children in their squalid, tiny Camden Town flat and makes her an offer she cannot refuse. The family become the housekeepers to a derelict country mansion in the charge of the solicitors. One day the children meet the spirits of two other children who died in the mansion nearly a hundred years prior. The children prepare a magic potion that allows them to travel backwards in time to the era of the ghost children. Will the children be able to help their new friends and what will happen to them if they do?;MOVIE;95;1972;['fantasy', 'family'];6.8;1477;4.935;7
Bela Lugosi Meets a Brooklyn Gorilla;Two goofy entertainers meet a mad scientist on a jungle island.;MOVIE;74;1952;['horror', 'scifi', 'comedy'];3.7;2449;1.134;3.7
Jack Frost;Pardon-me Pete, the official groundhog of Groundhog Day, tells the story of Jack Frost, who falls in love with a beautiful young woman and begs Father Winter to make him human so that she can see him. His request is granted, but only on the condition that by the spring he has a house, a bag of gold, a horse and a wife. But Jack finds that life as a human is more complicated then he thought.;MOVIE;48;1979;['fantasy', 'animation', 'comedy', 'family', 'romance'];6.9;3968;5.663;6.8
To Tell the Truth;The show features a panel of four celebrities attempting to correctly identify a described contestant who has an unusual occupation or experience. This central character is accompanied by two impostors who pretend to be the central character. The celebrity panelists question the three contestants, the impostors are allowed to lie but the central character is sworn "to tell the truth". After questioning, the panel attempts to identify which of the three challengers is telling the truth and is thus the central character.;SHOW;29;1956;['reality', 'family'];7.7;482;2.983;7.8
Mrs. Pollifax — Spy;Mrs. Emily Pollifax of New Jersey goes to the CIA to volunteer for spy duty, being in her own opinion, expendable now that the children are grown and she's widowed. And being just what the department needed (someone who looks and acts completely unlike a spy), she's assigned to simple courier duty to pick up a book in Mexico City. But when the pickup doesn't go as planned, Mrs. Pollifax finds herself handcuffed to a handsome stranger on a plane bound for an Albanian prison. And it's up to her to get them out.;MOVIE;110;1971;['comedy', 'action'];5.6;473;2.151;7.3
If It's Tuesday, This Must Be Belgium;A group of travelers from the United States race through seven countries in 18 days.;MOVIE;105;1969;['comedy', 'action', 'romance'];6.3;2147;4.552;6.1
Leo and Loree;Leo from Philly (Don Most, Happy Days’ Ralph Malph) moves to Hollywood with dreams of making it big, amazingly hooks up with starlet-to-be, loses starlet-to-be, gets back starlet-to-be, and becomes someone;MOVIE;97;1980;['romance', 'drama', 'comedy'];5;59;1.4;
Warning From Space;Large star shaped aliens travel to earth in hopes of warning them about an oncoming catastrophe. To prevent panic about their appearance, one alien takes the form of a popular singer.;MOVIE;87;1956;['scifi', 'drama'];4.6;1095;1.887;5.5
